Datetime,ap_total,rp_total,ap_TV,rp_TV,ap_washing-machine,rp_washing-machine,ap_rice-cooker,rp_rice-cooker,ap_water-purifier,rp_water-purifier,ap_microwave,rp_microwave,ap_kimchi-fridge,rp_kimchi-fridge,hour,temp_int,dew_point_int,humidity_int,condition_cat,wind_direction_cat,wind_speed_int,wind_gust_int,pressure_float,date,month,day
2016-10-31 17:00:00,305.3363765220353,-23.732470878727426,,,0.050079208685905374,5.984632935358341,0.23340749414519524,0.007427595628415336,90.09593340452398,107.8689599068057,0.4951893460018368,-1.5667977648410165,7.123414241053039,-0.9403203945707596,17,,,,,,,,,2016-10-31,10,31
2016-10-31 18:00:00,353.30801235527065,-13.499823577343532,,,0.04968424802654955,6.053547147169486,0.23549246400719417,0.00860190461907614,92.14182771296653,125.78477887392519,0.49456249180081663,-1.5832007721284027,6.250420002625048,-1.2790024937655742,18,,,,,,,,,2016-10-31,10,31
2016-10-31 19:00:00,432.72343095845196,-106.6912176469496,,,0.049553909619350085,6.069364147759197,0.23999101409663098,0.026484265308795624,42.30732996677879,28.839569355553,20.361321472761865,4.777470473548086,10.239982868976039,0.2668070406626421,19,,,,,,,,,2016-10-31,10,31
2016-10-31 20:00:00,221.55406751656844,-119.35900715345123,,,0.049562099968089635,6.083487808998127,0.23666772917330609,0.007524422027637576,20.572435663666504,-0.02280241366994957,0.489752092482076,-1.5901080959351506,7.075912935603803,-0.9859445133641515,20,,,,,,,,,2016-10-31,10,31
2016-10-31 21:00:00,172.45185987640573,-109.64432637182497,,,0.04891040754462669,6.031946409191185,0.23470703745955196,0.008006208973088185,20.881170828571864,-0.022852887731595162,0.489487327942025,-1.577897577647869,10.27441559907437,0.2960863103636155,21,,,,,,,,,2016-10-31,10,31
2016-10-31 22:00:00,196.39511125581325,-44.04393879069778,,,0.04898861629785279,6.050369500694978,0.23561263932149562,0.007708935339813117,47.11952422759352,68.38942896103423,0.48897426726653515,-1.5852065960130424,6.947267273479427,-1.0295730996351316,22,,,,,,,,,2016-10-31,10,31
2016-10-31 23:00:00,330.34243990407697,5.315920463772534,,,0.048488954122913853,5.975086560536067,0.23200333077599017,0.008211298441271614,98.79582251610779,124.17121390866618,0.4883095680925809,-1.5647233650829453,10.115523825648632,0.21798220366084367,23,,,,,,,,,2016-10-31,10,31
2016-11-01 00:00:00,427.042038243997,-80.42926302580824,,,0.048058179637123964,5.918877830259505,0.2309162352764581,0.00746661414959855,52.19883439610983,59.43492873217509,0.4888610281549979,-1.5443209180894366,6.952839406612731,-0.9771997899514262,0,32.0,32.0,51.0,Fair,NNW,7.0,0.0,30.35,2016-11-01,11,1
2016-11-01 01:00:00,485.038661691359,-140.30900171220028,,,0.04825669350308678,5.932296760906381,0.23203544484788285,0.0164045303181377,33.32438508006937,-0.07876714906750472,12.758362175525514,1.4556384612502862,9.962386620036074,0.19689530685922213,1,32.0,32.0,51.0,Fair,NNW,7.0,0.0,30.35,2016-11-01,11,1
2016-11-01 02:00:00,514.074705149654,-152.2024748094455,,,0.048827632890207355,5.96883553015078,0.23584524572850496,0.026920567268882676,21.816657524982386,-0.023213802689914752,22.79364978782968,4.562773220179159,6.8228173860435035,-1.0396279280812148,2,32.0,32.0,51.0,Fair,NNW,10.0,0.0,30.38,2016-11-01,11,1
